ID,Computer Science,Physics,Mathematics,Statistics,Quantitative Biology,Quantitative Finance
20973,0.26154855,0.003866558,0.17742252,0.9719416,0.002117863,0.00442866
20974,0.0009485919,0.9961279,0.0012432236,0.0046316306,4.8397305e-05,0.00028048467
20975,0.8822316,0.0022949087,0.12862435,0.2016661,0.00039334976,0.0006323237
20976,4.211833e-05,0.99830425,0.00045063338,0.0002931173,2.6857854e-06,2.5083436e-06
20977,0.99211615,0.00045340997,0.03093818,0.0035067212,1.7461813e-05,5.1806533e-06
20978,0.1281892,0.003907003,0.70886636,0.9193809,0.0025946763,0.0042270026
20979,0.00889373,0.0017707304,0.89192885,0.98449266,0.0002466344,0.008172087
20980,0.22835395,0.9126674,0.00023189881,0.32348928,0.0012355372,8.858554e-05
20981,0.9876974,0.0063567,0.0013845124,0.062478267,0.0043036994,0.0009048846
20982,0.00021396158,0.99928004,0.0003211633,0.0007723685,3.3898714e-06,7.725258e-06
20983,0.18635249,0.6382702,0.11892299,0.03287215,0.20169954,0.0069321515
20984,0.96816564,0.0007417295,0.001966011,0.17920926,0.00032261913,8.006158e-05
20985,0.029211257,0.18422627,0.9606225,5.41478e-05,0.00028195124,0.000632579
20986,0.570717,0.08573585,0.17481561,0.044130187,0.046526838,0.04880809
20987,0.94433975,0.38079652,0.01003441,0.23502001,0.017368672,0.0030566703
20988,0.93514764,0.01312565,0.46971846,0.0024491327,0.0008624685,0.00022000328
20989,2.6889149e-05,0.9985316,0.0035851405,9.905218e-06,2.1478125e-05,3.417333e-05
20990,0.99048924,2.1644388e-05,0.0022974482,0.0677968,1.7016431e-06,8.5085753e-07
20991,0.6553725,0.0066481,0.014661422,0.45588902,0.21684314,0.00013150745
20992,0.9666705,0.0012640035,0.022593888,0.09455736,0.00024310905,0.00013229506
20993,0.711525,0.21934319,0.17209028,0.31888083,0.021558309,0.0029942621
20994,9.193314e-06,0.9950015,0.016980717,1.8222149e-06,0.0006585355,7.977053e-06
20995,0.8379069,0.0021716096,0.0060207793,0.66675425,0.007447051,5.1834882e-05
20996,0.78782445,0.002271106,0.50332624,0.0145170605,0.00017598335,0.0049040047
20997,3.518819e-06,0.9988471,0.001617616,5.384114e-06,6.2606323e-06,5.759175e-06
20998,0.8305334,0.5283543,0.066036895,0.025659893,0.0038117138,0.001364991
20999,0.41075245,0.011616962,0.0011940463,0.7057653,0.75605685,8.766836e-05
21000,0.00020128571,0.9955422,0.0013262457,0.00042150536,0.00056227244,2.9689927e-05
21001,0.00023047508,0.9958988,0.0013725105,9.553209e-05,2.6321777e-07,9.4909e-08
21002,0.64335734,0.41764304,0.009761781,0.024827767,0.112482086,0.0007181372
21003,0.9881706,0.002258812,0.0040304023,0.08163233,0.00014423236,7.417881e-05
21004,0.09331853,0.0069991043,0.118649624,0.95449924,0.028257547,0.0003452035
21005,0.047437787,0.9954745,0.00047239402,0.0007481809,7.2253283e-06,6.7983564e-07
21006,0.99146783,0.0005895267,0.089949176,0.0016786588,1.6416281e-05,2.2931838e-06
21007,0.17966856,0.058710087,0.85384595,0.23782232,0.004504525,0.03037221
21008,0.701807,0.0007843154,0.0666759,0.7938347,0.0052258163,0.0014516106
21009,0.0340627,0.0024266937,0.98637843,0.0013678866,1.5768675e-05,3.4016791e-06
21010,0.21911685,0.86537075,0.1154954,0.041920204,0.0064658974,0.0019803038
21011,0.004160821,0.0019764127,0.9940445,0.0004613065,3.2721246e-06,4.1458884e-07
21012,0.020687852,0.008775023,0.9866802,0.004158609,0.00025395997,0.00015916879
21013,0.8513333,0.0034853183,0.11826969,0.67226213,0.0006164188,0.0003598565
21014,0.0006889582,0.0011230599,0.9945051,0.00030267806,5.8326605e-06,1.1955339e-07
21015,0.9669572,0.0008085924,0.0253118,0.14857954,5.11634e-05,4.4921308e-05
21016,0.0007346845,0.9686456,0.21633956,0.0018136565,0.0007366773,0.00048885914
21017,0.4072186,0.11661318,0.2442239,0.7996333,0.038010586,0.00032978403
21018,2.2399372e-05,0.9988776,0.0010256154,0.0001274105,6.77916e-07,4.3755495e-07
21019,0.6196075,0.018703481,0.5068248,0.7803109,0.0075991563,0.0005527262
21020,0.91736686,0.009249896,0.13556156,0.12244026,0.0011898652,0.00082145276
21021,0.9794931,0.037337136,0.015085284,0.062259506,0.0014312473,0.00024437488
21022,0.043606244,0.035765894,0.1616011,0.012546486,0.0022479745,0.76334035
21023,5.7015197e-05,0.99876887,0.00048046824,0.00044728725,3.6907018e-06,1.3263769e-05
21024,0.0011450486,0.003655141,0.99553066,0.00036498232,1.2394558e-05,2.4148055e-06
21025,0.025482323,0.8895704,0.25231078,0.011712903,0.0010052243,0.0017606054
21026,0.9438189,0.5061533,0.016920472,0.004901327,0.012478959,0.013387652
21027,0.6760247,0.0030966175,0.19684272,0.93181884,0.0021941345,0.0025505412
21028,0.019325366,0.0041919663,0.80362505,0.97778064,0.0004814739,0.012299634
21029,0.9564305,0.0006401818,0.22699727,0.018681046,2.2217879e-05,1.5037046e-05
21030,0.0011551128,0.0011736735,0.9961493,0.00010249515,2.3127275e-07,4.6043347e-08
21031,0.23190595,0.4298283,0.006678063,0.24880657,0.33680296,0.0006229221
21032,0.8490827,0.0007523932,0.1123676,0.24734107,0.0005912002,0.00023696285
21033,0.040386822,0.42152038,0.8391148,0.023307627,0.021282336,0.0090594925
21034,0.055983603,0.0011828606,0.80616325,0.9647462,0.00044507984,0.009823778
21035,0.28995898,0.06927493,0.1452714,0.52740675,0.006048852,0.0051272083
21036,0.72647285,0.00012686267,0.0012829571,0.77041525,0.0014347353,1.8109922e-06
21037,0.3695381,0.0003490329,0.89907134,0.0041026655,8.665488e-06,5.3793485e-07
21038,0.92620057,0.0009249213,0.2738908,0.026267739,6.90466e-05,0.0003927381
21039,0.94259965,0.0017783764,0.0048830532,0.21556115,0.00023768672,0.0006250735
21040,0.84249634,0.0005650333,0.12723416,0.8746452,0.0009905192,8.1638194e-05
21041,0.98134744,0.05683037,0.0039647175,0.033529792,0.00035672775,5.4642453e-05
21042,3.3488577e-05,0.99756134,0.0022435053,3.6827547e-05,1.9932992e-05,4.121929e-06
21043,0.8090491,0.17543024,0.17769143,0.009141794,0.0030471324,0.0012214507
21044,0.23193707,0.04040746,0.14327198,0.4843314,0.0033187917,0.4178622
21045,0.00017055731,0.9880711,0.015890747,0.00023010773,0.00015112002,1.6681449e-06
21046,0.7393356,0.00033477644,0.11075346,0.85565877,0.0010901681,1.124718e-05
21047,0.19650036,0.1498784,0.6872339,0.5773316,0.06002447,0.0086897025
21048,0.97828925,7.7059274e-05,0.004383814,0.13128708,5.3383043e-05,4.142887e-06
21049,0.0033863424,0.0043273666,0.98988414,0.00076442206,1.39886015e-05,2.9094895e-06
21050,0.00021943847,0.38407823,0.020946749,4.608835e-05,0.7900481,1.4777011e-05
21051,0.9108593,0.0009963177,0.5788935,0.0038958923,0.00013554547,2.1286347e-05
